id,trigger,conditions,script,text,options,notes
shroud_SiteHiddenChamber,DialogOptionSelected,"$option==shroud_SiteHidden",,"$playerSirOrMadam, we’ve detected signals originating from within the chamber.

They’re… consistent. Not environmental.

We’ve gained access.

The interior is intact, completely untouched by the surrounding damage. No signs of structural failure. No debris.

At the center of the chamber stands a containment unit.

It is still powered.

There is something inside.

Sensors are unable to produce a stable reading. The structure fluctuates, as if it cannot be fully resolved.

It does not appear to be a physical entity.

…But it reacts.

We found a data fragment attached to the containment system.

[RECOVERED LOG // PARTIAL]

This subject predates all current research initiatives.

Initial containment was achieved prior to the development of the later weapon systems.

Observed behavior suggests a persistent, non-physical consciousness.

Direct interaction is not recommended.

""$playerSirOrMadam, it is responding to our presence and it is attempting communication. We should not remain here for long.""","0:shroud_siteEntityDialogue: Attempt to communicate with it",
shroud_shuttle,DialogOptionSelected,"$option == shroud_SiteExploreleave
!$contaimnent_taken",,"Multiple chambers remain accessible,
Surface scans reveal a structure even deeper into the planet's crust.
Computer terminals appear to be still functional.
The hangar is still accessible.","0:shroud_SiteExplore1b:Investigate Chamber 1
1:shroud_SiteExplore1C:Investigate Chamber 2
2:shroud_SiteExplore1D:Investigate Chamber 3
3:shroud_SiteExplore1E:Investigate Chamber 4
4:shroud_siteMainChamber:Investigate the main chamber.
5:shroud_SiteLog: Investigate the computer logs


",
shroud_SiteFinal,DialogOptionSelected,"$option == shroud_SiteFinal",,"""$playerSirOrMadam, we can still access the chambers left, or we can leave""","0:shroud_SiteExplore1b:Investigate Chamber 1
1:shroud_SiteExplore1C:Investigate Chamber 2
2:shroud_SiteExplore1D:Investigate Chamber 3
3:shroud_SiteExplore1E:Investigate Chamber 4
4:shroud_siteMainChamber:Investigate the main Chamber
6:shroud_SiteFinal2:Return to orbit",
shroud_SiteFinalVeil,DialogOptionSelected,"$option == shroud_SiteFinal
$VeilTaken",,"""$playerSirOrMadam, we can still access the chambers left, or we can leave""","0:shroud_SiteExplore1b:Investigate Chamber 1
1:shroud_SiteExplore1C:Investigate Chamber 2
2:shroud_SiteExplore1D:Investigate Chamber 3
3:shroud_SiteExplore1E:Investigate Chamber 4
5:cetus_chamber:Investigate the hangar
6:shroud_SiteFinal2:Return to orbit",
shroud_SiteFinal2,DialogOptionSelected,"$option == shroud_SiteFinal2","$siteshroudExplored = true","Your fleet leaves orbit. Leaving this ravaged planet to its misery ","100:defaultLeave:Leave",
shroud_siteExplore1B ExoTaken,DialogOptionSelected,"$option ==shroud_SiteExplore1b
$ExoTaken",,"The chamber walls are scorched and partially collapsed.

Containment structures line the interior, reinforced far beyond standard design tolerances. Many have failed.

Scattered across the floor are stabilized housing sealed, but still intact.

Internal notes recovered from nearby terminals indicate the system was never considered stable.

Despite this, testing continued under direct executive pressure.

Acceptable loss thresholds were repeatedly revised upward during live trials.


Later entries show containment being reinforced not to improve performance, but to delay failure long enough to complete test cycles.

One line is repeated across multiple logs:
Performance exceeds projections. Stability is no longer a requirement.


All prototypes were recovered.","shroud_SiteFinal:Return to the shuttle",
shroud_siteExplore1CEnergyTaken,DialogOptionSelected,"$option ==shroud_SiteExplore1C
$MassLauncherTaken",,"This chamber is largely intact.

Testing rails and targeting arrays remain in place, aligned toward reinforced impact zones carved directly into the surrounding structure.

Several launcher assemblies are secured along the walls.

Recovered notes suggest this system replaced earlier, less controllable projects.

It was never intended to be perfect only predictable.


Multiple logs reference controlled failure margins and acceptable degradation during operation.

One engineer's note stands out:

At least this one fails the way we expect it to.

All units were recovered","shroud_SiteFinal:Return to the shuttle",
shroud_siteExploreDFractureTaken,DialogOptionSelected,"$FractureLanceTaken
$option==shroud_SiteExplore1D",,"A deep trench cuts through the chamber, extending far beyond its original boundaries.

The structure appears to have been breached from within.

Emitter arrays remain anchored in place, though their alignment no longer matches the damage pattern.

Test logs indicate the beam performed within expected parameters initially.

Later entries describe inconsistencies between projected trajectories and actual impact locations.

Several operators reported that the beam did not originate from the emitter at the moment of firing.

No explanation is recorded.

One entry is left incomplete:

""It is not following..""

All emitters were taken.","shroud_SiteFinal:Return to the shuttle",
shroud_siteExploreEPlasmaTaken,DialogOptionSelected,"$PlasmaTaken
$option== shroud_SiteExplore1E",,"The chamber shows signs of repeated, controlled testing.

Impact marks are consistent and evenly distributed, suggesting stable firing patterns.

Unlike other sectors, structural integrity remains largely intact.

This system appears to have been developed as a fallback, simpler, more reliable, and easier to deploy.

However, later entries indicate increasing irregularities during testing cycles.

Projectile behavior became inconsistent when operated alongside other active systems.

Final note:

""It was supposed to be isolated.""

All units were recovered.","shroud_SiteFinal:Return to the shuttle",
shroud_siteEntityTaken,DialogOptionSelected,"$option==shroud_siteEntityTaken","AddRemoveCommodity containment_unit_awakened 1 We have taken the unit
$global.contaimnent_taken=true","""A wise choice. Your species fears me.
I can only be integrated into what you refer to as automated ships.
Select a vessel. I will imbue it with my radiance.""
The voice within the containment unit falls silent.
You order your crew to recover the containment unit. Their hesitation is brief  but noticeable.","shroud_SiteFinal: Return to the shuttle",
shroud_siteEntityLeft,DialogOptionSelected,"$option==shroud_siteEntityLeft",,"You order your crew to step back from the containment unit.

Whatever is inside, it has endured this long without interference.

There is no reason to change that.

As you withdraw, sensors register a brief fluctuation from within the chamber.

Faint.

Almost imperceptible.

Like something reaching

Then nothing.

The signal fades as your crew leaves.

The chamber returns to silence.","shroud_SiteFinal: Return to the shuttle",
shroud_siteEntityDialogue,DialogOptionSelected,"$option==shroud_siteEntityDialogue",,"""I know what you are, I anticipated your arrival here. I know you'll have questions, choose your questions wisely""","0:shroud_siteQ1:""What are you?""
1:shroud_siteQ2:""Did you cause this?""
2:shroud_siteQ3:""What is your relationship with your own kind?""
3:shroud_siteQ4:""What do you think of us?""
4:shroud_siteQ5:""What was in the other chamber?""
5:shroud_siteQ6:""Who is A. Verya?""
6:EntityChoice: ""Speak.""
7:shroud_siteEntityLeft:""Whatever you are we are not taking you.""",
questionHUB,DialogOptionSelected,"$option==questionHUB",,"You think of a question to ask.","0:shroud_siteQ1:What are you?
1:shroud_siteQ2:Did you cause this?
2:shroud_siteQ3:What is your relationship with your own kind?
3:shroud_siteQ4:What do you think of us?
4:shroud_siteQ5:What was the device's purpose?
5:shroud_siteQ6:Who is A. Verya?
6:EntityChoice: Speak.
7:shroud_siteEntityLeft:""Whatever you are we are not taking you.""",
EntityChoice,DialogOptionSelected,"$option==EntityChoice",,"""Predictable.  Integrating me to your fleet is beneficial.""","0:shroud_siteEntityTaken:""Very well.""
1:EntityLeft:""Whatever you are we are not taking you.""",
EntityLeft,DialogOptionSelected,"$option==EntityLeft","$containment_not_taken=true","""You missed an opportunity, $playerName. An opportunity you will never have again.""
The voice within the containment unit falls silent.","0:shroud_SiteFinal: Return to the shuttle",
shroud_siteQ1,DialogOptionSelected,"$option==shroud_siteQ1",,"""Your words cannot describe me. Your primitive language cannot express my radiance.""","0:questionHUB:Continue",
shroud_siteQ2,DialogOptionSelected,"$option==shroud_siteQ2",,"""These fools were punished for playing with things they should not have. They were consumed by an insatiable hunger.""","0:questionHUB:Continue",
shroud_siteQ3,DialogOptionSelected,"$option==shroud_siteQ3",,"""They are a shadow of myself. They attempted to get rid of me but failed.""","0:questionHUB:Continue",
shroud_siteQ4,DialogOptionSelected,"$option==shroud_siteQ4",,"""Primitive but curious.""","0:questionHUB:Continue",
shroud_siteQ5,DialogOptionSelected,"$option==shroud_siteQ5",,"""An attempt to weaponize some of my unfathomable power, along with lesser forms of my kind. A crude effort to gain an edge in your primitive wars.""","0:questionHUB:Continue",
shroud_siteQ6,DialogOptionSelected,"$option==shroud_siteQ6",,"""One of the better members of your species. A shame he had to die.""","0:questionHUB:Continue",
dark_past,PopulateOptions,"$id == arroyo
$global.gaATG_missionCompleted score:2000
!$dark_pastDeclined
!$global.dark_pastAccepted","ShowPersonVisual","""I have a favor to ask of you. This isn't something I can discuss over comms. Come to my chalet.""
He closes the link before you can respond.","0:dark_pastChalet: Go to the port.
",
dark_pastChalet,DialogOptionSelected,"$option==dark_pastChalet",,"You talk to the port authorities and take the quickest shuttle to the planet.","3:dark_pastPlanet:Take a shuttle to Rayan Arroyo's chalet on the surface",
dark_pastPlanet,DialogOptionSelected,"$option==dark_pastPlanet","ShowDefaultVisual","Your shuttle descends into the young atmosphere of Eochu Bres, through towering battlements of clouds that cast a spray of rain over the viewport which is wiped clean in half a blink by the heat and speed of your descent.
The flight path soon deviates from the general approach corridor which has been ticking off minor use fees from the Tri-Tachyon owned flight control: general volume access fee, priority flight lane fee, service fee, customer satisfaction insurance charge, advertisement bypass fee - you swipe the notifications off and focus on the landscape.","0:dark_pastStory: Continue",
dark_pastStory,DialogOptionSelected,"$option==dark_pastStory","ShowPersonVisual","The nav system sounds a tone indicating imminent arrival, and you see Arroyo's private chalet: a small compound of radical geometric architecture surrounded by low outbuildings.
Your shuttle approaches an ellipsoid landing pad that appears to hang in the thin air over a gorge.

Arroyo greets you. He waves off the servants. ""I'm glad you came, Captain $playerName."" He leads you to one of the bars.","0:dark_pastStory2: ""So, what is it that you must have me here?""",
dak_pastStory2,DialogOptionSelected,"$option==dark_pastStory2",,"You sit at the bar. ""This matter is of considerable importance to me. I found some things that predates the first AI War.","0:dark_pastStory3:Continue",
dak_pastStory3,DialogOptionSelected,"$option==dark_pastStory3",,"With a precise movement, he opens his datapad.
""I was reviewing company archives when I came across an off record site. Gargoyle managed to obtain its coordinates. I want you to go there and bring me anything you find.""","0:dark_pastStory4: ""This is some serious business, Rayan.""",
dak_pastStory4,DialogOptionSelected,"$option==dark_pastStory4",,"""$playerName, can you do this for me? I'll owe you one."" Arroyo seems to observe you.","0:dark_pastAccepted: ""Sure thing.""
1:dark_pastDeclined: ""I'm afraid, I cannot""",
dark_pastReconsidered,PickGreeting,"$global.gaATG_missionCompleted score:2000
$dark_pastDeclined
$id==arroyo","ShowPersonVisual","""So, have you reconsidered?""","0:dark_pastAccepted: ""Yes""
1:dark_pastNoAgain: ""No""",
dark_pastNoAgain,DialogOptionSelected,"$option==dark_pastNoAgain",,"""I understand."" ","100:cutCommLink: Cut comm link",
dark_pastAccepted,DialogOptionSelected,"$option==dark_pastAccepted","$global.dark_pastAccepted=true
ShowDefaultVisual
ShroudSiteIntelCMD
","""Good, I'll log you the coordinates to your datapad.""","100:defaultLeave:You return to orbit",
dark_pastSuccessful1,PopulateOptions,"$id==arroyo
$global.computerlogs score:1000",,,"0:dark_pastSuccessful2: ""I got the logs""",
dark_pastSuccessful2,DialogOptionSelected,"$option==dark_pastSuccessful2",,"""Come planetside, I need to look at them.""","0:dark_pastChaletSuccess: You take a shuttle to his chalet.",
dark_pastChaletSuccess,DialogOptionSelected,"$option==dark_pastChaletSuccess","ShowPersonVisual
$global.computerlogs=false
$global.darkpast_completed=true
$hasfavor=true
","Rayan greets you. ""Come inside."" He leads you to a large well decorated room. ""It's nice isn't it?""
""Let me see those logs."" 
You transfer the logs. 

""I have always thought that Veyra's work ""accident"" was a lie. These logs proves it. I am grateful that you found proof of this. Make sure to keep your mouth shut, no one needs to know about this. You have earned your favor.""","0:arroyo_favor: About that favor
100:defaultLeave: Return to orbit",
arroyo_favor,DialogOptionSelected,"$option==arroyo_favor
$hasfavor",,"""Of course, how could I forget about it. I owe you one you may request one favor.""","0:tritachyonRepNeutral: ""I need you to fix my relationship with Tri-Tachyon""
1:FactionRelationship: ""I need Tri-Tachyon to fix my relationship with one of the major powers.""
2:tritachyonShip: ""Could you pull strings and get one of the company's assets?""
3:favor_leave: ""I don't need to use it yet.""",
arroyo_favorCOMM,PopulateOptions,"$id==arroyo
$hasfavor score: 2000",,"""Have you decided what you want me to arrange.?","0:tritachyonRepNeutral: ""I need you to fix my relationship with Tri-Tachyon""
1:FactionRelationship: ""I need Tri-Tachyon to fix my relationship with one of the major powers.""
2:tritachyonShip: ""Could you pull strings and get one of the company's assets?""",
tritachyonRepNeutral,DialogOptionSelected,"$option==tritachyonRepNeutral
$faction.isHostile==tritachyon",,"""Hmm, you are definitely in some hot waters. For a one time only exception, I can set you back on neutral grounds with the company at no fee.""","0:arroyo_favor: Think of another favor to ask
1:ttneutral: ""Have arrangements be done.""",
dark_pastDeclined,DialogOptionSelected,"$option==dark_pastDeclined","$dark_pastDeclined=true","Arroyo gives you a disappointed look .""If you ever change your mind, let me know Captain $playerName."" ","100:defaultLeave:You return to orbit",
,,,,,,
# DWELLER OVERRIDE,,,,,,
abyssalLightDwellerBegin,OpenInteractionDialog,"$customType == abyssal_light score:1000
$tag:dweller_light score:30000","ShowImageVisual abyssal_light2","Cold light fills the primary display, stark against the abyss. The subtle pulse begs for your attention yet offers no promise of comfort.

After a moment you consciously pull your eyes from the pitiless sight, centering your attention on your bridge officers to give your next order.","tidalAbyssal_dwellerCont:Continue",
abyssalLightDwellerNonLight,DwellerAttackAfterAbilityUse,"$customType == abyssal_light score:1000
$tag:dweller_light score:30000","ShowImageVisual abyssal_light2","Cold light begins to grow in the primary display. A subtle pulse begs for your attention.

""Captain, I-"" It's your navigation officer, who glances at sensors and receives a nod. ""The light is moving. Coming closer.""

You consciously pull your eyes from that comfortless light - diminished but not bereft of its call through even the meager medium of the primary display.

It's come to you.","tidalAbyssal_dwellerCont:Continue",
tidalAbyssal_dwellerContSel,DialogOptionSelected,"$option == tidalAbyssal_dwellerCont score:30000","DwellerTidalCMD checkForBetterSurvey","Your sensors officer reports movement from the light and fresh fissures inside the drive bubble. Navigation warns that the instability is rising, battle stations are called, and the contact starts homing in on your active sensor emissions.","tidalAbyssal_maxSensors:Order a sensor sweep, full power, focused on the anomalous drive-bubble penetrations
tidalAbyssal_wait:Wait
tidalAbyssal_emCon:Go to maximum emission control. EMCON zero-zero alpha, immediate execute.",
tidalAbyssal_maxSensorsSel,DialogOptionSelected,"$option == tidalAbyssal_maxSensors score:40000","DwellerTidalCMD hugeFleet","""Aye $playerSirOrMadam! Executing."" Sensors barks, then deftly executes a series of overrides. 

Your $shipOrFleet status is up on the central display - shield bubble an unsteady amber, incursions of N-space fissures marked in garish red. A blink of white as active sensors trigger and-

-pressure on the drive bubble spikes, an amber flash, a cacophony of alarms...

* * *

A hidden blackness waiting, lurking, jolts awake. Tendrils lunge eagerly, hungrily, through fissures in the dark behind the night.",,
